full_title,guest,length,views,likes,dislikes,date,comments,likes/dislikes,views/likes,views/comments
"Балагов - ему 27, а он снова на Каннском фестивале",Балагов ,75,4707191,155000.0,7900.0,2019-06-11,26202,19.620253164556964,30.368974193548386,179.65006488054348
"Жириновский - о драках, мемах и фашизме",Жириновский ,72,11939699,248000.0,39000.0,2017-08-29,46460,6.358974358974359,48.14394758064516,256.9887860525183
"Шило - о Кровостоке, психушке и совке",Шило ,64,6509958,198000.0,11000.0,2018-04-24,16898,18.0,32.87857575757576,385.25020712510354
Бардаш - почему распались «Грибы»? Первое большое интервью,Бардаш ,134,8268766,206000.0,42000.0,2019-12-03,47965,4.904761904761905,40.13964077669903,172.39166058584385
Баста - о Немагии и своей зарплате,Баста ,52,10407508,197000.0,18000.0,2017-02-07,8704,10.944444444444445,52.82998984771574,1195.7155330882354
Face - почему от него фанатеет молодежь,Face ,51,15322675,338000.0,146000.0,2017-10-11,68501,2.315068493150685,45.33335798816568,223.68542065079342
Антоха. Путешествие из Магадана в Европу,Антоха,99,7628360,344000.0,13000.0,2019-12-17,44842,26.46153846153846,22.17546511627907,170.11640872396413
NEXTA – главное медиа белорусского протеста,NEXTA ,94,8073929,311000.0,36000.0,2020-09-17,59713,8.63888888888889,25.96118649517685,135.21224858908445
"Агутин - о пьянстве, мемах и доме в Америке",Агутин ,63,5652333,122000.0,18000.0,2018-02-27,20488,6.777777777777778,46.330598360655735,275.88505466614606
"Ресторатор - об Оксимироне, цензуре и бабле",Ресторатор ,48,7794384,178000.0,11000.0,2017-03-07,7173,16.181818181818183,43.78867415730337,1086.6281890422417
IC3PEAK – music and modern art (English subs),IC3PEAK ,93,7053137,294000.0,35000.0,2020-06-30,29111,8.4,23.990261904761905,242.2842568101405
"Шнур - об Алисе, Познере и рэпе",Шнур ,47,14202337,288000.0,20000.0,2017-02-21,18488,14.4,49.31367013888889,768.1921787105149
"Гуф - о героине, разводе и новой жизни",Гуф ,47,13719302,273000.0,14000.0,2017-05-02,27795,19.5,50.25385347985348,493.5888469149128
